Field,FieldName,dbfname,Category,Type,Description,Collection/shape,Example,Required,Indexed,Deleted,Standard,Info,Origin,Filter by,Color by,Default,ProviderGuidanceText
Focal Taxon,scientificName,sn,Nomenclature,TEXT,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined.",MOLSourceDBFfields,"Parus major, Coleoptera, Vespertilionidae",y,y,,dwc,,Darwin Core,NA,NA,,
Seasonality,Seasonality,seasnality,Range maps,SMALLINT,"Categories: 1 = Year-round resident, 2 = Breeding, 3 = Non-breeding, 4 = Passage, 5 = unknown (1,2,3 or 4), 6 = unknown, but not just passage (i.e. 1, 2 or 3). Categories 1-5 as in IUCN 'Seasonality'",MOLSourceDBFfields,resident,,y,,mol,,MoL,yes,yes,CollectionSeasonality,"Resident ? the species is/was known or thought very likely to be resident throughout the year
Breeding Season ? The species is/was known or thought very likely to occur regularly during the breeding season and to breed.
Non-breeding Season ? The species is/was known or thought very likely to occur regularly during the non-breeding season. In the Eurasian and North American contexts, this encompasses ?winter?.
Passage ? The species is/was known or thought very likely to occur regularly during a relatively short period(s) of the year on migration between breeding and non-breeding ranges.
Seasonal Occurrence Uncertain ? The species is/was present, but it is not known if it is present during part or all of the year."
Abundance,Abundance,abnd,Sampling,TEXT,"Relative, ordinal or absolute number of individuals counted. Note that this can be a descriptive term, such as 'rare' or 'common'.",MOLSourceDBFfields,,,y,,mol,,MoL,yes,yes (scale),,
Abundance Comment,AbundanceComment,abndnote,Sampling,TEXT,,MOLSourceDBFfields,,,,,mol,,MoL,no,no,,
Abundance Makeup,AbundanceMakeup,abndmkp,Sampling,TEXT,"The numbers of male, female and juvenile organisms of the study taxon.",MOLSourceDBFfields,14:0:0,,,,mol,,MoL,yes,ye,,
Abundance Method,AbundanceMethod,abndmeth,Sampling,TEXT,,MOLSourceDBFfields,,,,,mol,,MoL,no,no,,
Abundance Survey Area,AbundanceSurveyArea,abndarea,Sampling,TEXT,"The area (in sq m, etc.) within which abundance was surveyed.",MOLSourceDBFfields,10 sq m,,,,mol,,MoL,no,no,,
Abundance Units,AbundanceUnits,abndunit,Sampling,TEXT,The units in which the 'Abundance' and 'AbundanceMakeup' fields are specified.,MOLSourceDBFfields,"Individuals, Ind/ha, or '5 Categories'",,y,,mol,,MoL,no,no,,
Distribution Comment,DistributionComment,distnote,Location,TEXT,Comments regarding species' occurrence in AreaID,MOLSourceDBFfields,,,,,mol,,MoL,yes,yes,,
Dynamic Properties,dynamicProperties,dp,Other,TEXT,"A list (concatenated and separated) of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content such as key-value pairs.",MOLSourceDBFfields,"""tragusLengthInMeters=0.014; weightInGrams=120"", ""heightInMeters=1.5"", ""natureOfID=expert identification; identificationEvidence=cytochrome B sequence"", ""relativeHumidity=28; airTemperatureInC=22; sampleSizeInKilograms=10"", ""aspectHeading=277; slopeInDegrees=6"", ""iucnStatus=vulnerable; taxonDistribution=Neuquen, Argentina""",,,,dwc,,Darwin Core,yes,yes,,
Taxon ID,taxonID,tid,Nomenclature,TEXT,An identifier for the set of taxon information (data associated with the Taxon class). May be a global unique identifier or an identifier specific to the data set.,MOLSourceDBFfields,"""8fa58e08-08de-4ac1-b69c-1235340b7001"", ""32567"", ""http://species.gbif.org/abies_alba_1753"", ""urn:lsid:gbif.org:usages:32567""",,y,,dwc,"Genus species, same for all rows",Darwin Core,NA,NA,,
Taxonomic Comment,taxonRemarks,trm,Nomenclature,TEXT,Comments or notes about the taxon or name.,MOLSourceDBFfields,,,,,dwc,,Darwin Core,no,no,,
Visible,Visible,visible,Other,BOOLEAN,A boolean value indicating whether this layer or collection is publically viewable.,MOLSourceDBFfields,true/false,,,,mol,,MoL,,,,
Rights,rights,rights,Source,TEXT,Information about rights held in and over the resource,MOLSourceDBFfields,e.g. all uses or non-commercial. Other examples might include a URL to a rights document or a data-use document.,y,y,,dcterms,"Categories (for now): ""no restrictions""; ""no download for commercial use""; ""no download"".",Dublin Core,,,,
BaseMaps,Basemaps,basemaps,Source,TEXT,The map from which this map was derived.,MOLSourceDBFfields,ESRI Data and Maps 1993,,,,mol,,MoL,,,,
Contact Person,Contact,contact,Source,TEXT,The name and e-mail address of the contact person to get in touch with regarding this collection.,MOLSourceDBFfields,Ted Philips <ted@example.com>,y,y,,mol,,MoL,,,,
Coverage,coverage,coverage,Location,TEXT,"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant.",MOLSourceDBFfields,North America,,y,,dcterms,,Dublin Core,,,,
Creator,creator,creator,Source,TEXT,The agent who collected and organized the data.,MOLSourceDBFfields,The scientists or committee who were commissioned to develop the range maps for the IUCN.,y,y,,dcterms,,Dublin Core,,,,
Publication Date,dateSubmitted,pubdate,Publication,TEXT,Date of publication of the resource,MOLSourceDBFfields,A date in ISO 8601 format.,y,y,,dcterms,"A point or period of time associated with an event in the lifecycle of the resource.  Date may be used to express temporal information at any level of granularity. Recommended best practice is to use an encoding scheme, such as the W3CDTF profile of ISO 8601 [W3CDTF].",Dublin Core,,,,
Description,description,description,Description,TEXT,An account of the resource.,MOLSourceDBFfields,A freeform description of the collection or field. A history of creation or changes of this resource would be helpful.,,,,dcterms,,Dublin Core,,,,
 Survey Date Accuracy End,DateAccuracyEnd,daccend,Time,TEXT,,MOLSourceDBFfields,"5 years for expert maps, long-term reserve checklist, 10 days for Christmas Bird Count",,,,mol,,MoL,,,,
Format,format,format,Autogenerated,TEXT,"The file format, physical medium, or dimensions of the resource.",MOL-calculated,"Raster or polygon formats, such as BIL, ASC, GRD for raster or KML or SHP for polygons.",,,,dcterms,,Dublin Core,,,,
Identifier,identifier,identifier,Description,TEXT,"An unambiguous reference to the resource within a given context. The 'source' field will store a URI/URL to a description of the resource, while the 'identifier' is a URI/URL linking to the resource itself.",MOLSourceDBFfields,"A URL to the resource, or an internal identification number used by the publisher. E.g. ""1929401/A"" or ""http://example.org/species/mammals.shp""",y,y,,dcterms,The URI or GUID that refers to the shape file(s) or polygon(s),Dublin Core,,,,
Language,language,language,Description,TEXT,The language in which data on this resource has been entered,MOLSourceDBFfields,"""en""",,,,dcterms,,Dublin Core,,,,
Count of Maps,mapcount,mapcount,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Max Count Polygon or AreaIDs per species,maxregionsperspecies,mxrpersp,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Max Longitude,maxx,maxx,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Max Latitude,maxy,maxy,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Median Count Polygon or AreaIDs per species,medianregionsperspecies,mdrpersp,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Min Count Polgon or AreaIDs per species,minregionsperspecies,mnrpersp,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Min Longitude,minx,minx,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Min Latitude,miny,miny,Autogenerated,INTEGER,,MOL-calculated,,,,,mol,,MoL-calculated,,,,
Publisher,publisher,publisher,Source,TEXT,An entity responsible for making the resource available.,MOLSourceDBFfields,"""IUCN""",,y,,dcterms,,Dublin Core,,,,
Survey Method,samplingProtocol,protocol,Sampling,TEXT,"The name of, reference to, or description of the method or protocol used during an Event.",MOLSourceDBFfields,"expert opinion, long-term compilation of observations, standardized survey, plot inventory",,y,,dwc,,Darwin Core,,,,
Survey Date Accuracy Start,DateAccuracyStart,daccstart,Time,TEXT,,MOLSourceDBFfields,"5 years for expert maps, long-term reserve checklist, 10 days for Christmas Bird Count",,,,mol,,MoL,,,,
Subject,subject,subject,Description,TEXT,The topic of the resource.,MOLSourceDBFfields,"The common phrase given by the provider for the focal taxon, e. g. ""bird range maps""",,y,,dcterms,,Dublin Core,,,,
Survey Intervals,SurveyIntervals,intervals,Range maps,TEXT,The interval at which surveys were made to generate a dataset.,MOLSourceDBFfields,"annual, decadal, once ...",,y,,mol,,MoL,,,,
Title,title,title,Description,TEXT,A name given to the resource.,MOLSourceDBFfields,"""IUCN Red List of Threatened Species""",y,,,dcterms,,Dublin Core,,,,
Layer Type,type,type,Description,TEXT, 	The nature or genre of the resource.,MOLSourceDBFfields,"""assemblage checklist"" vs ""expert opinion range map"" vs ""ecoregion"", etc.",y,y,,dcterms,,Dublin Core,,,,
Projection,verbatimSRS,vs,Geography,TEXT,enforce: geographic -- WJ,MOLSourceDBFfields,,y,y,,dwc,,Darwin Core,,,,"Defaults to the values characterizing geographic, WGS 1984"
Absence Reliability,AbsenceReliability,absreliab,Sampling,SMALLINT,"Ordinal scale (1-6): very low, low, medium, high, very high, excellent.",MOLSourceDBFfields,,,,,mol,,MoL,,,,
Common Name,vernacularName,vn,Nomenclature,TEXT,"e.g. ""tiger"", ""lion""",MOLSourceDBFfields,,,y,,dwc,,Darwin Core,,,,
Species Name Taxonomic Authority,nameAccordingTo,nat,Nomenclature,TEXT,Allows provider to give authority used for this species,MOLSourceDBFfields,,,y,,dwc,,Darwin Core,,,CollectionTaxonomies,
Collection Identifier,collectionId,cid,Collection,TEXT,An unambiguous reference to the resource within a given context for the entire collection.,MOLSourceDBFfields,A URL which describes how this collection was developed.,y,,,dwc,,Darwin Core,,,,
Provider,provider,provider,Autogenerated,TEXT,"The provider of this dataset. This is similar to contributor, except that we can imagine many contributors ('walter', 'cody') who submit collections for the same provider ('jetzlab'). Provider names will probably be allocated by Map of Life to contributors. This will be filled in automatically by loader.py.",MOL-calculated,"iucn, jetz",y,,,mol,,MoL,,,,
Collection,collection,collection,Autogenerated,TEXT,"The collection to which this layer belongs. Two providers may use the same collection name, but two collections cannot have the same name - if they do, the last collection will replace previous collections in our system.",MOL-calculated,"mammals, amphibians",y,,,mol,,MoL,,,,
File Name,filename,filename,Autogenerated,TEXT,The name of the file from which this layer was loaded. This is intended for diagnostic purposes only; only the filename (not a full path) is ideal. This field's behavior may chance when we add support for non-shapefile layers or online data import.,MOL-calculated,abditomys_latidens.shp,,,,mol,,MoL,,,,
